status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
for_sale,135000.0,6.0,3.0,0.06,"1209 Calle 20 NE, San Juan, PR, 00920",1209 Calle 20 NE,San Juan,Puerto Rico,920.0,3466.0,
for_sale,110100.0,3.0,2.0,0.06,"3-S 51 Calle # 44, Toa Alta, PR",3-S 51 Calle # 44,Toa Alta,Puerto Rico,,1126.0,
for_sale,79000.0,3.0,2.0,0.04,"AH-4 25 St, Bayamon, PR, 00956",AH-4 25 St,Bayamon,Puerto Rico,956.0,1039.0,
for_sale,102000.0,3.0,1.0,0.07,"F6 Villa Linares, Vega Alta, PR, 00962",F6 Villa Linares,Vega Alta,Puerto Rico,962.0,1025.0,
for_sale,675000.0,3.0,1.0,,"57 Calle San Jose Unit 101, Old San Juan, PR, 00926",57 Calle San Jose Unit 101,Old San Juan,Puerto Rico,926.0,2037.0,
for_sale,139000.0,7.0,5.0,0.09,"944 Villa Navarra, San Juan, PR, 00924",944 Villa Navarra,San Juan,Puerto Rico,924.0,2321.0,
for_sale,127000.0,3.0,2.0,0.1,"222 P71 Calle # 222, Trujillo Alto, PR, 00976",222 P71 Calle # 222,Trujillo Alto,Puerto Rico,976.0,1050.0,
for_sale,139000.0,3.0,2.0,,"402 Blvrd Media Luna Apt 304, Carolina, PR, 00983",402 Blvrd Media Luna Apt 304,Carolina,Puerto Rico,983.0,1454.0,
for_sale,125000.0,2.0,2.0,,"155 Calle Mexico Apt 202, San Juan, PR, 00917",155 Calle Mexico Apt 202,San Juan,Puerto Rico,917.0,921.0,
for_sale,148000.0,3.0,2.0,,"12 Camino Os Abez Unit 1004, Guaynabo, PR, 00969",12 Camino Os Abez Unit 1004,Guaynabo,Puerto Rico,969.0,1500.0,
for_sale,165000.0,6.0,3.0,0.09,"U 14, Bayamón, PR, 00959",U 14,Bayamón,Puerto Rico,959.0,1764.0,
for_sale,105000.0,2.0,1.0,,"2000 Plaza Universidad Unit 1205, San Juan, PR, 00925",2000 Plaza Universidad Unit 1205,San Juan,Puerto Rico,925.0,807.0,
for_sale,95000.0,6.0,3.0,0.07,"858 Calle 47 S, San Juan, PR, 00920",858 Calle 47 S,San Juan,Puerto Rico,920.0,1841.0,
for_sale,65000.0,2.0,1.0,,"831 Calle Bayamonte Unit 1411, Bayamon, PR, 00956",831 Calle Bayamonte Unit 1411,Bayamon,Puerto Rico,956.0,699.0,
for_sale,106100.0,3.0,1.0,0.12,"N41 N41, Toa Baja, PR, 00949",N41 N41,Toa Baja,Puerto Rico,949.0,1000.0,
for_sale,550000.0,5.0,5.0,0.13,"13-5 Ave Santa Ana, Guaynabo, PR, 00969",13-5 Ave Santa Ana,Guaynabo,Puerto Rico,969.0,3240.0,
for_sale,145000.0,4.0,2.0,0.09,"796 Calle Lincoln, San Juan, PR, 00926",796 Calle Lincoln,San Juan,Puerto Rico,926.0,1000.0,
for_sale,2985000.0,7.0,6.0,0.54,"386 Villas Reales, Guaynabo, PR, 00969",386 Villas Reales,Guaynabo,Puerto Rico,969.0,7920.0,
for_sale,1350000.0,5.0,5.0,0.25,"78 Calle Viajera, Guaynabo, PR, 00969",78 Calle Viajera,Guaynabo,Puerto Rico,969.0,4120.0,
for_sale,73000.0,3.0,1.0,0.05,"15 St Lot 3, Catano, PR, 00962",15 St Lot 3,Catano,Puerto Rico,962.0,872.0,
for_sale,899000.0,5.0,3.0,0.1,"32 Calle Doncella, San Juan, PR, 00913",32 Calle Doncella,San Juan,Puerto Rico,913.0,2800.0,
for_sale,1820000.0,6.0,4.0,0.12,"2058 Calle Espana, San Juan, PR, 00911",2058 Calle Espana,San Juan,Puerto Rico,911.0,2295.0,
for_sale,125000.0,3.0,1.0,,"102 Avenida Arterial B Unit 2B, San Juan, PR, 00918",102 Avenida Arterial B Unit 2B,San Juan,Puerto Rico,918.0,1106.0,
for_sale,150000.0,,,12.62,"Pr 803 Interior Km # 1, Corozal, PR, 00783",Pr 803 Interior Km # 1,Corozal,Puerto Rico,783.0,,
for_sale,198000.0,,,0.75,"Km 2 2 Carr Pr # 169, Guaynabo, PR, 00969",Km 2 2 Carr Pr # 169,Guaynabo,Puerto Rico,969.0,,
for_sale,98500.0,3.0,2.0,,"860 Las Cuevas De Trujillo Alto Unit 301, Trujillo Alto, PR, 00967",860 Las Cuevas De Trujillo Alto Unit 301,Trujillo Alto,Puerto Rico,967.0,1200.0,
for_sale,6750000.0,,,0.19,"2021 Italia St, San Juan, PR, 00911",2021 Italia St,San Juan,Puerto Rico,911.0,,
for_sale,110000.0,3.0,2.0,0.15,"Pr 830 Lot 2, Bayamon, PR, 00957",Pr 830 Lot 2,Bayamon,Puerto Rico,957.0,1197.0,
for_sale,127600.0,6.0,4.0,0.25,"830 Bo Cerro Gordo Carr 830 Km # 9, Bayamon, PR, 00961",830 Bo Cerro Gordo Carr 830 Km # 9,Bayamon,Puerto Rico,961.0,2705.0,
for_sale,80000.0,6.0,1.0,0.21,"282 Calle 13 NW, San Juan, PR, 00920",282 Calle 13 NW,San Juan,Puerto Rico,920.0,756.0,
for_sale,101000.0,5.0,2.0,0.08,"J3 Calle Tiburcio Berty, Carolina, PR, 00987",J3 Calle Tiburcio Berty,Carolina,Puerto Rico,987.0,1700.0,
for_sale,319900.0,4.0,3.0,0.16,"K-27 Madison St, Guaynabo, PR, 00969",K-27 Madison St,Guaynabo,Puerto Rico,969.0,2308.0,
for_sale,135000.0,3.0,2.0,,"19 Carretera 2 Unit 1932, Bayamon, PR, 00961",19 Carretera 2 Unit 1932,Bayamon,Puerto Rico,961.0,1453.0,
for_sale,96000.0,4.0,2.0,0.04,"264 Calle Buenaventura, San Juan, PR, 00915",264 Calle Buenaventura,San Juan,Puerto Rico,915.0,1357.0,
for_sale,218000.0,5.0,3.0,0.26,"2 Calle # A, Canovanas, PR, 00729",2 Calle # A,Canovanas,Puerto Rico,729.0,3401.0,
for_sale,110000.0,3.0,2.0,1.15,"1588U Paseo Diana, Toa Baja, PR, 00949",1588U Paseo Diana,Toa Baja,Puerto Rico,949.0,1166.0,
for_sale,200000.0,3.0,2.0,,"Km7 Carr 187 Km 7 0 Unit I400, Loiza, PR, 00772",Km7 Carr 187 Km 7 0 Unit I400,Loiza,Puerto Rico,772.0,1405.0,
for_sale,74900.0,2.0,1.0,3.4,"1.7 Carr 843, Trujillo Alto, PR, 00926",1.7 Carr 843,Trujillo Alto,Puerto Rico,926.0,850.0,
for_sale,85000.0,1.0,1.0,0.09,"1120 Calle Aleli, Toa Baja, PR, 00949",1120 Calle Aleli,Toa Baja,Puerto Rico,949.0,3767.0,
for_sale,117500.0,3.0,2.0,,"5403 Unit 5403, Bayamon, PR, 00957",5403 Unit 5403,Bayamon,Puerto Rico,957.0,1300.0,
for_sale,195000.0,2.0,2.0,0.97,"856 Pr and Cienaga Baja Ward, Rio Grande, PR, 00745",856 Pr and Cienaga Baja Ward,Rio Grande,Puerto Rico,745.0,1441.0,
for_sale,265000.0,3.0,2.0,0.11,"E32 Calle Guadalupe, Guaynabo, PR, 00969",E32 Calle Guadalupe,Guaynabo,Puerto Rico,969.0,1896.0,
for_sale,123900.0,3.0,2.0,0.08,"55 Calle Astros, Carolina, PR, 00979",55 Calle Astros,Carolina,Puerto Rico,979.0,777.0,
for_sale,127000.0,3.0,2.0,0.13,"Mm1 Bayamon Gdn, Bayamon, PR, 00956",Mm1 Bayamon Gdn,Bayamon,Puerto Rico,956.0,1300.0,
for_sale,225000.0,3.0,2.0,,"Km 6 Aquatika Pr-187 Unit 2401, Loiza, PR, 00772",Km 6 Aquatika Pr-187 Unit 2401,Loiza,Puerto Rico,772.0,1168.0,
for_sale,135000.0,3.0,2.0,,"731 Condominio Primavera Unit Apt, Bayamon, PR, 00956",731 Condominio Primavera Unit Apt,Bayamon,Puerto Rico,956.0,1224.0,
for_sale,150000.0,3.0,2.0,,"2 Ocean Pt Unit 1101, Loiza, PR, 00745",2 Ocean Pt Unit 1101,Loiza,Puerto Rico,745.0,1300.0,
